platform_id,manufacturer,manufacturer_code,code_type,source_pdf,notes
GMC-SRA-07-13-DC-SHORTB,SnugPro,65GSACC,model_id,data/sources/snugpro_2025-03-07.pdf,
GMC-SRA-07-13-RC-SHORTB,SnugPro,65GSA,model_id,data/sources/snugpro_2025-03-07.pdf,
GMC-SRA-07-13-DC-VBED,SnugPro,58GSACC,model_id,data/sources/snugpro_2025-03-07.pdf,
GMC-SRA-07-13-RC-LONGBE,SnugPro,8GSA,model_id,data/sources/snugpro_2025-03-07.pdf,
GMC-SRA-07-13-DC-LONGBE,SnugPro,8GSA,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-COL-23-24-DC-VBED,SnugPro,52GL23,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-CAN-23-24-DC-VBED,SnugPro,52GN23,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-COL-15-21-DC-VBED,SnugPro,52GC15,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-COL-15-21-DC-SHORTB,SnugPro,62GCCC15/62GC15,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-COL-04-12-DC-VBED,SnugPro,65GC,model_id,data/sources/snugpro_2025-03-07.pdf,
CHEV-COL-04-12-RC-SHORTB,SnugPro,76GC,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-19-24-RC-LONGBE,SnugPro,80DR19-H,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-19-24-DC-SHORTB,SnugPro,64DR19-H,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-19-24-DC-SHORTB,SnugPro,64DRQC09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-19-25-CC-SHORTB,SnugPro,64DR19,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-19-25-DC-VBED,SnugPro,57DR19,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-DC-SHORTB,SnugPro,64DR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-RC-SHORTB,SnugPro,64DR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-DC-LONGBE,SnugPro,80DR10,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-RC-LONGBE,SnugPro,80DR10,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-DC-DUALLY,SnugPro,64DR09-D,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R25-10-24-DC-DUALLY-2,SnugPro,80DR09-D,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-09-24-DC-SHORTB,SnugPro,64QCDR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-13-18-CC-SHORTB,SnugPro,64DR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-09-18-RC-SHORTB,SnugPro,64DR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-09-18-DC-VBED,SnugPro,57DR09,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-02-08-DC-LONGBE,SnugPro,8DR,model_id,data/sources/snugpro_2025-03-07.pdf,
RAM-R15-02-08-DC-SHORTB,SnugPro,65DR,model_id,data/sources/snugpro_2025-03-07.pdf,
JEEP-GLAD-20-24-DC-VBED,SnugPro,50JG20,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-21-24-DC-VBED,SnugPro,56FF21,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-22-24-RC-VBED,SnugPro,56FF21,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-21-24-RC-SHORTB,SnugPro,66FF21,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-21-24-RC-LONGBE,SnugPro,80FF21,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-24-25-RC-VBED,SnugPro,56FF21M,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-24-25-RC-SHORTB,SnugPro,66FF21M,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-24-25-RC-LONGBE,SnugPro,80FF21M,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-DC-VBED,SnugPro,56FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-XC-SHORTB,SnugPro,66FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-RC-SHORTB,SnugPro,66FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-DC-SHORTB,SnugPro,66FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-RC-LONGBE,SnugPro,80FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-15-20-XC-LONGBE,SnugPro,80FF15,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-09-14-DC-VBED,SnugPro,56FF09,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-09-14-RC-SHORTB,SnugPro,66FF09,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-09-14-DC-SHORTB,SnugPro,66FF09,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-09-14-DC-LONGBE,SnugPro,80FF09,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-04-08-XC-SHORTB,SnugPro,65FF,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-04-08-DC-VBED,SnugPro,55FF,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-04-08-XC-LONGBE,SnugPro,8FF,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-00-04-DC-VBED,SnugPro,67PNCC,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-97-03-RC-SHORTB,SnugPro,83PN,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F150-97-03-XC-SHORTB,SnugPro,83PNSC,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-23-24-RC-SHORTB,SnugPro,69FS23,model_id,data/sources/snugpro_2025-03-07.pdf,
FORD-F250-23-24-RC-LONGBE,SnugPro,80FS23,model_id,data/sources/snugpro_2025-03-07.pdf,
