topper_brand,topper_model_series,topper_production_year_start,topper_production_year_end,fits_platform_id,confidence,fit_type,wrap_type,fit_notes,mounting_clamp_type,required_modifications,source_urls,verified_by,source_effective_date,has_custom_fit,has_skirted_sides,door_type,clamp_type_required,bed_size_class,model_id_alias,camera_compatible
SnugPro,UT PRO,,,RAM-R15-19-24-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R15-19-25-CC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R15-19-25-DC-VBED,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R25-10-24-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R25-10-24-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R25-10-24-RC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R25-10-24-DC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R25-10-24-DC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R25-10-24-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R25-10-24-RC-LONGBE,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R25-10-24-DC-DUALLY,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R25-10-24-DC-DUALLY-2,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R15-09-24-DC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,XV,,,RAM-R15-13-18-CC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
SnugPro,UT PRO,,,RAM-R15-13-18-CC-SHORTB,90,OEM,,,,,data/sources/snugpro_2025-03-07.pdf,manufacturer,2025-03-07,,,,,,,True
