year,make,model,cab_style,bed_length_label,platform_id
2010,Toyota,Tundra,,"79""",leer_8tt
2011,Toyota,Tundra,,"79""",leer_8tt
2012,Toyota,Tundra,,"79""",leer_8tt
2013,Toyota,Tundra,,"79""",leer_8tt
2007,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2008,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2009,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2010,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2011,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2012,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2013,Toyota,Tundra,Double Cab,"79""",leer_8ttdc
2024,Toyota,Tacoma,,"52""",leer_52tc24
2025,Toyota,Tacoma,,"52""",leer_52tc24
2024,Toyota,Tacoma,,"62""",leer_62tc24
2025,Toyota,Tacoma,,"62""",leer_62tc24
2016,Toyota,Tacoma,,"62""",leer_62tc16
2017,Toyota,Tacoma,,"62""",leer_62tc16
2018,Toyota,Tacoma,,"62""",leer_62tc16
2019,Toyota,Tacoma,,"62""",leer_62tc16
2020,Toyota,Tacoma,,"62""",leer_62tc16
2021,Toyota,Tacoma,,"62""",leer_62tc16
2022,Toyota,Tacoma,,"62""",leer_62tc16
2023,Toyota,Tacoma,,"62""",leer_62tc16
2016,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2017,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2018,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2019,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2020,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2021,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2022,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2023,Toyota,Tacoma,Double Cab,"62""",leer_62tcdc16
2016,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2017,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2018,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2019,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2020,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2021,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2022,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2023,Toyota,Tacoma,Double Cab,"52""",leer_52tcdc16
2005,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2006,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2007,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2008,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2009,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2010,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2011,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2012,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2013,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2014,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2015,Toyota,Tacoma,Double Cab,"64""",leer_64tcdc
2005,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2006,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2007,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2008,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2009,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2010,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2011,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2012,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2013,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2014,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2015,Toyota,Tacoma,Double Cab,"77""",leer_77tcdc
2005,Toyota,Tacoma,,"77""",leer_77tc
2006,Toyota,Tacoma,,"77""",leer_77tc
2007,Toyota,Tacoma,,"77""",leer_77tc
2008,Toyota,Tacoma,,"77""",leer_77tc
2009,Toyota,Tacoma,,"77""",leer_77tc
2010,Toyota,Tacoma,,"77""",leer_77tc
2011,Toyota,Tacoma,,"77""",leer_77tc
2012,Toyota,Tacoma,,"77""",leer_77tc
2013,Toyota,Tacoma,,"77""",leer_77tc
2014,Toyota,Tacoma,,"77""",leer_77tc
2015,Toyota,Tacoma,,"77""",leer_77tc
2005,Toyota,Tacoma,,"77""",leer_77tcr
2006,Toyota,Tacoma,,"77""",leer_77tcr
2007,Toyota,Tacoma,,"77""",leer_77tcr
2008,Toyota,Tacoma,,"77""",leer_77tcr
2009,Toyota,Tacoma,,"77""",leer_77tcr
2010,Toyota,Tacoma,,"77""",leer_77tcr
2011,Toyota,Tacoma,,"77""",leer_77tcr
2012,Toyota,Tacoma,,"77""",leer_77tcr
2013,Toyota,Tacoma,,"77""",leer_77tcr
2014,Toyota,Tacoma,,"77""",leer_77tcr
2015,Toyota,Tacoma,,"77""",leer_77tcr
2001,Toyota,Tacoma,Crew Cab,"63""",leer_63tcc
2002,Toyota,Tacoma,Crew Cab,"63""",leer_63tcc
2003,Toyota,Tacoma,Crew Cab,"63""",leer_63tcc
2004,Toyota,Tacoma,Crew Cab,"63""",leer_63tcc
2017,Honda,Ridgeline,,"51""",leer_51hr17
2018,Honda,Ridgeline,,"51""",leer_51hr17
2019,Honda,Ridgeline,,"51""",leer_51hr17
2020,Honda,Ridgeline,,"51""",leer_51hr17
2021,Honda,Ridgeline,,"51""",leer_51hr17
2022,Honda,Ridgeline,,"51""",leer_51hr17
2023,Honda,Ridgeline,,"51""",leer_51hr17
2024,Honda,Ridgeline,,"51""",leer_51hr17
2005,Honda,Ridgeline,,"59""",leer_59hr
2006,Honda,Ridgeline,,"59""",leer_59hr
2007,Honda,Ridgeline,,"59""",leer_59hr
2008,Honda,Ridgeline,,"59""",leer_59hr
2009,Honda,Ridgeline,,"59""",leer_59hr
2010,Honda,Ridgeline,,"59""",leer_59hr
2011,Honda,Ridgeline,,"59""",leer_59hr
2012,Honda,Ridgeline,,"59""",leer_59hr
2013,Honda,Ridgeline,,"59""",leer_59hr
2014,Honda,Ridgeline,,"59""",leer_59hr
2016,Nissan,Titan,,"66""",leer_66nt16
2017,Nissan,Titan,,"66""",leer_66nt16
2018,Nissan,Titan,,"66""",leer_66nt16
2019,Nissan,Titan,,"66""",leer_66nt16
2020,Nissan,Titan,,"66""",leer_66nt16
2021,Nissan,Titan,,"66""",leer_66nt16
2022,Nissan,Titan,,"66""",leer_66nt16
2023,Nissan,Titan,,"66""",leer_66nt16
2024,Nissan,Titan,,"66""",leer_66nt16
2016,Nissan,Titan,,"80""",leer_80nt16
2017,Nissan,Titan,,"80""",leer_80nt16
2018,Nissan,Titan,,"80""",leer_80nt16
2019,Nissan,Titan,,"80""",leer_80nt16
2020,Nissan,Titan,,"80""",leer_80nt16
2021,Nissan,Titan,,"80""",leer_80nt16
2022,Nissan,Titan,,"80""",leer_80nt16
2023,Nissan,Titan,,"80""",leer_80nt16
2024,Nissan,Titan,,"80""",leer_80nt16
2013,Nissan,Titan,,"56""",leer_56nt13
2014,Nissan,Titan,,"56""",leer_56nt13
2015,Nissan,Titan,,"56""",leer_56nt13
2004,Nissan,Titan,,"65""",leer_65nt
2005,Nissan,Titan,,"65""",leer_65nt
2006,Nissan,Titan,,"65""",leer_65nt
2007,Nissan,Titan,,"65""",leer_65nt
2008,Nissan,Titan,,"65""",leer_65nt
2009,Nissan,Titan,,"65""",leer_65nt
2010,Nissan,Titan,,"65""",leer_65nt
2011,Nissan,Titan,,"65""",leer_65nt
2012,Nissan,Titan,,"65""",leer_65nt
2004,Nissan,Titan,,"55""",leer_55nt
2005,Nissan,Titan,,"55""",leer_55nt
2006,Nissan,Titan,,"55""",leer_55nt
2007,Nissan,Titan,,"55""",leer_55nt
2008,Nissan,Titan,,"55""",leer_55nt
2009,Nissan,Titan,,"55""",leer_55nt
2010,Nissan,Titan,,"55""",leer_55nt
2011,Nissan,Titan,,"55""",leer_55nt
2012,Nissan,Titan,,"55""",leer_55nt
