year,make,model,cab_style,bed_length_label,platform_id
2014,Ram,1500,,"80""",leer_80dr10_d
2015,Ram,1500,,"80""",leer_80dr10_d
2016,Ram,1500,,"80""",leer_80dr10_d
2017,Ram,1500,,"80""",leer_80dr10_d
2018,Ram,1500,,"80""",leer_80dr10_d
2009,Ram,1500,,"57""",leer_57dr09
2010,Ram,1500,,"57""",leer_57dr09
2011,Ram,1500,,"57""",leer_57dr09
2012,Ram,1500,,"57""",leer_57dr09
2013,Ram,1500,,"57""",leer_57dr09
2014,Ram,1500,,"57""",leer_57dr09
2015,Ram,1500,,"57""",leer_57dr09
2016,Ram,1500,,"57""",leer_57dr09
2017,Ram,1500,,"57""",leer_57dr09
2018,Ram,1500,,"57""",leer_57dr09
2019,Ram,1500,,"57""",leer_57dr09
2020,Ram,1500,,"57""",leer_57dr09
2021,Ram,1500,,"57""",leer_57dr09
2022,Ram,1500,,"57""",leer_57dr09
2023,Ram,1500,,"57""",leer_57dr09
2024,Ram,1500,,"57""",leer_57dr09
2009,Ram,1500,,"64""",leer_64dr09
2010,Ram,1500,,"64""",leer_64dr09
2011,Ram,1500,,"64""",leer_64dr09
2012,Ram,1500,,"64""",leer_64dr09
2013,Ram,1500,,"64""",leer_64dr09
2014,Ram,1500,,"64""",leer_64dr09
2015,Ram,1500,,"64""",leer_64dr09
2016,Ram,1500,,"64""",leer_64dr09
2017,Ram,1500,,"64""",leer_64dr09
2018,Ram,1500,,"64""",leer_64dr09
2009,Ram,1500,Quad Cab,"64""",leer_64drqc09
2010,Ram,1500,Quad Cab,"64""",leer_64drqc09
2011,Ram,1500,Quad Cab,"64""",leer_64drqc09
2012,Ram,1500,Quad Cab,"64""",leer_64drqc09
2013,Ram,1500,Quad Cab,"64""",leer_64drqc09
2014,Ram,1500,Quad Cab,"64""",leer_64drqc09
2015,Ram,1500,Quad Cab,"64""",leer_64drqc09
2016,Ram,1500,Quad Cab,"64""",leer_64drqc09
2017,Ram,1500,Quad Cab,"64""",leer_64drqc09
2018,Ram,1500,Quad Cab,"64""",leer_64drqc09
2019,Ram,1500,Quad Cab,"64""",leer_64drqc09
2020,Ram,1500,Quad Cab,"64""",leer_64drqc09
2021,Ram,1500,Quad Cab,"64""",leer_64drqc09
2022,Ram,1500,Quad Cab,"64""",leer_64drqc09
2023,Ram,1500,Quad Cab,"64""",leer_64drqc09
2024,Ram,1500,Quad Cab,"64""",leer_64drqc09
2009,Ram,1500,,"80""",leer_80dr09
2010,Ram,1500,,"80""",leer_80dr09
2011,Ram,1500,,"80""",leer_80dr09
2012,Ram,1500,,"80""",leer_80dr09
2013,Ram,1500,,"80""",leer_80dr09
2014,Ram,1500,,"80""",leer_80dr09
2015,Ram,1500,,"80""",leer_80dr09
2016,Ram,1500,,"80""",leer_80dr09
2017,Ram,1500,,"80""",leer_80dr09
2018,Ram,1500,,"80""",leer_80dr09
2019,Ram,1500,,"80""",leer_80dr09
2020,Ram,1500,,"80""",leer_80dr09
2021,Ram,1500,,"80""",leer_80dr09
