fits_platform_id,topper_brand,topper_model_series,fit_type,wrap_type,has_skirted_sides,door_type,clamp_type_required,bed_size_class,camera_compatible,has_custom_fit,model_id_alias,fit_notes,confidence,verified_by,source_effective_date,topper_production_year_start,topper_production_year_end
leer_56frpt17,LEER,100XL,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,100XR,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,100R,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,Legend,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,180,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,180XL,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56frpt17,LEER,180XR,aliased,X,,,S,SF,,True,56FF15,,80,manufacturer,2025-01-24,,
leer_56ff15,LEER,100XQ,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,100XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,Legend,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,180XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff15,LEER,700,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,100XQ,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,100XQ_SPORT,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,100XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,Legend,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,180XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,180XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_66ff15,LEER,700,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff15,LEER,100R,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff15,LEER,Legend,OEM,X,True,,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_80ff15,LEER,180,OEM,X,True,windoor_and_option2,S,LF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff09,LEER,100XL,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff09,LEER,100XR,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff09,LEER,100R,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff09,LEER,Legend,OEM,X,True,,S,SF,,True,,,100,manufacturer,2025-01-24,,
leer_56ff09,LEER,180,OEM,X,True,windoor_and_option2,S,SF,,True,,,100,manufacturer,2025-01-24,,
