platform_id,make,model_family,cab_style,nickname,bed_length_floor_inches,production_year_start,production_year_end,stake_pockets_present,cab_camera_present
leer_52gc15,Chevrolet,Colorado,,"Chevrolet Colorado 52"" (2015–2022)",52.0,2015,2022,,
leer_62gccc15,Chevrolet,Colorado,Crew Cab,"Chevrolet Colorado 62"" (2015–2022)",62.0,2015,2022,,
leer_62gc15,Chevrolet,Colorado,,"Chevrolet Colorado 62"" (2015–2022)",62.0,2015,2022,,
leer_76gc,Chevrolet,Colorado,,"Chevrolet Colorado 76"" (2004–2012)",76.0,2004,2012,,
leer_65gc,Chevrolet,Colorado,,"Chevrolet Colorado 65"" (2004–2012)",65.0,2004,2012,,
leer_59scc,Chevrolet,S-10,Crew Cab,"Chevrolet S-10 59"" (2001–2003)",59.0,2001,2003,,
leer_90s,Chevrolet,S-10,,"Chevrolet S-10 90"" (1994–2003)",90.0,1994,2003,,
leer_75s,Chevrolet,S-10,,"Chevrolet S-10 75"" (1994–2003)",75.0,1994,2003,,
leer_76s,Chevrolet,S-10,,"Chevrolet S-10 76"" (1982–1993)",76.0,1982,1993,,
leer_75ss,Chevrolet,S-10,,"Chevrolet S-10 75"" (1996–2003)",75.0,1996,2003,,
leer_56tt22,Toyota,Tundra,,"Toyota Tundra 56"" (2022–2025)",56.0,2022,2025,,
leer_66tt22,Toyota,Tundra,,"Toyota Tundra 66"" (2022–2025)",66.0,2022,2025,,
leer_81tt22,Toyota,Tundra,,"Toyota Tundra 81"" (2022–2025)",81.0,2022,2025,,
leer_56tt14,Toyota,Tundra,,"Toyota Tundra 56"" (2014–2021)",56.0,2014,2021,,
leer_66tt14,Toyota,Tundra,,"Toyota Tundra 66"" (2014–2021)",66.0,2014,2021,,
leer_80tt14,Toyota,Tundra,,"Toyota Tundra 80"" (2014–2021)",80.0,2014,2021,,
leer_55tt,Toyota,Tundra,,"Toyota Tundra 55"" (2007–2013)",55.0,2007,2013,,
