platform_id,manufacturer,manufacturer_code,source_effective_date
leer_52tc24,LEER,52TC24,2025-01-24
leer_62tc24,LEER,62TC24,2025-01-24
leer_62tc16,LEER,62TC16,2025-01-24
leer_62tc16,LEER,62TCDC16,2025-01-24
leer_62tcdc16,LEER,62TCDC16,2025-01-24
leer_62tcdc16,LEER,62TC16,2025-01-24
leer_52tcdc16,LEER,52TCDC16,2025-01-24
leer_52tcdc16,LEER,52TC16,2025-01-24
leer_64tcdc,LEER,64TCDC,2025-01-24
leer_77tcdc,LEER,77TCDC,2025-01-24
leer_77tc,LEER,77TC,2025-01-24
leer_77tcr,LEER,77TCR,2025-01-24
leer_63tcc,LEER,63TCC,2025-01-24
leer_51hr17,LEER,51HR17,2025-01-24
leer_59hr,LEER,59HR,2025-01-24
leer_66nt16,LEER,66NT16,2025-01-24
leer_80nt16,LEER,80NT16,2025-01-24
leer_56nt13,LEER,56NT13,2025-01-24
leer_65nt,LEER,65NT,2025-01-24
leer_55nt,LEER,55NT,2025-01-24
leer_60nf22,LEER,60NF22,2025-01-24
leer_50nf13,LEER,50NF13,2025-01-24
leer_61nf13,LEER,61NF13,2025-01-24
leer_62nf,LEER,62NF,2025-01-24
leer_76nf,LEER,76NF,2025-01-24
leer_75ih,LEER,75IH,2025-01-24
