year,make,model,trim,cab_style,bed_length_label,platform_id,vin_decodable_trim,vin_decodable_bed,notes,source_urls
2025,GMC,Sierra 1500,,,"70""",GMC-SRA-19P-70,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,GMC,Sierra 1500,,,"79.5""",GMC-SRA-19P-795,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,GMC,Sierra 1500,,Regular Cab,"98""",GMC-SRA-19P-RC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,GMC,Sierra 2500,,,"82""",GMC-SRA25-20P-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,GMC,Sierra 2500,,Crew Cab,"98""",GMC-SRA25-20P-CC-98,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,Chevrolet,Silverado 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Chevrolet,Silverado 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Chevrolet,Silverado 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Chevrolet,Silverado 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Chevrolet,Silverado 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,GMC,Sierra 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,GMC,Sierra 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,GMC,Sierra 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,GMC,Sierra 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,GMC,Sierra 1500,,,"5'8""",CHEV-S15-14-18-58,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,GMC,Sierra 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,GMC,Sierra 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,GMC,Sierra 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,GMC,Sierra 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,GMC,Sierra 2500,,,"82""",CHEV-S25-14-18-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,Chevrolet,Silverado 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Chevrolet,Silverado 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Chevrolet,Silverado 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Chevrolet,Silverado 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Chevrolet,Silverado 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2014,GMC,Sierra 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,GMC,Sierra 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,GMC,Sierra 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,GMC,Sierra 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,GMC,Sierra 2500,,,"102""",CHEV-S25-14-18-102,partial,partial,,data/sources/ranch_fitment_guide.pdf
2007,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2008,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,Chevrolet,Silverado 1500,,,"72""",CHEV-S15-07-13-72,partial,partial,,data/sources/ranch_fitment_guide.pdf
2007,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2008,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,Chevrolet,Silverado 2500,,Extended Cab,"82""",CHEV-S25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2007,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2008,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,Chevrolet,Silverado 2500,,,"82""",CHEV-S25-07-14-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2007,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2008,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2009,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2010,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2011,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2012,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2013,GMC,Sierra 2500,,Extended Cab,"82""",GMC-SRA25-07-13-XC-82,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,Chevrolet,Colorado,,,"61""",CHEV-COL-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,Chevrolet,Colorado,,,"61""",CHEV-COL-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,Chevrolet,Colorado,,,"61""",CHEV-COL-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,GMC,Canyon,,,"61""",GMC-CAN-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,GMC,Canyon,,,"61""",GMC-CAN-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,GMC,Canyon,,,"61""",GMC-CAN-23P-61,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,Chevrolet,Colorado,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Canyon,,,"62""",CHEV-COL-15-22-62,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,Chevrolet,Colorado,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2015,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2016,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2017,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2018,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2019,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2020,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,GMC,Canyon,,,"79""",CHEV-COL-15-22-79,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,Ford,F-150,,,"65""",FORD-F150-21P-65,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,Ford,F-150,,,"65""",FORD-F150-21P-65,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,Ford,F-150,,,"65""",FORD-F150-21P-65,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,Ford,F-150,,,"65""",FORD-F150-21P-65,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,Ford,F-150,,,"65""",FORD-F150-21P-65,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,Ford,F-150,,,"78""",FORD-F150-21P-78,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,Ford,F-150,,,"78""",FORD-F150-21P-78,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,Ford,F-150,,,"78""",FORD-F150-21P-78,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,Ford,F-150,,,"78""",FORD-F150-21P-78,partial,partial,,data/sources/ranch_fitment_guide.pdf
2025,Ford,F-150,,,"78""",FORD-F150-21P-78,partial,partial,,data/sources/ranch_fitment_guide.pdf
2021,Ford,F-150,,,Long Bed,FORD-F150-21P-LONGBE,partial,partial,,data/sources/ranch_fitment_guide.pdf
2022,Ford,F-150,,,Long Bed,FORD-F150-21P-LONGBE,partial,partial,,data/sources/ranch_fitment_guide.pdf
2023,Ford,F-150,,,Long Bed,FORD-F150-21P-LONGBE,partial,partial,,data/sources/ranch_fitment_guide.pdf
2024,Ford,F-150,,,Long Bed,FORD-F150-21P-LONGBE,partial,partial,,data/sources/ranch_fitment_guide.pdf
